Draft_Yr,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Rush_Att,Rush_Yds,Rush_TD,Rec,Rec_Yds,Rec_TD,Solo,Def_Int,Sk,College,,Player_NFL_Link,Player_NCAA_Link
1993,2,55,BUF,John Parrella,DT,23,2004,0,0,6,46,1,172,0,0,0,0,0,0,0,0,0,0,0,,,26.5,Nebraska,,/players/P/ParrJo20.htm,
1993,2,56,NWE,Vincent Brisby,WR,22,2000,0,0,3,24,24,86,0,0,0,0,0,0,0,0,221,3202,14,,,,La-Monroe,,/players/B/BrisVi00.htm,
1993,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,,Int,Sk,College/Univ,,,
1993,3,57,MIN,John Gerak,G,23,1997,0,0,3,16,9,63,0,0,0,0,0,0,0,0,1,3,0,,,,Penn St.,College Stats,/players/G/GeraJo20.htm,http://www.sports-reference.com/cfb/players/john-gerak-1.html
1993,3,58,RAI,Billy Joe Hobert,QB,22,1999,0,0,0,7,3,29,275,527,3371,23,25,33,121,1,0,0,0,,,,Washington,College Stats,/players/H/HobeBi00.htm,http://www.sports-reference.com/cfb/players/billy-joe-hobert-1.html
1993,3,59,CIN,Steve Tovar,LB,23,2000,0,0,3,29,25,121,0,0,0,0,0,0,0,0,0,0,0,,7,8.0,Ohio St.,,/players/T/TovaSt20.htm,
1993,3,60,TAM,Lamar Thomas,WR,23,1998,0,0,1,12,2,73,0,0,0,0,0,1,5,0,106,1558,10,,,,Miami (FL),College Stats,/players/T/ThomLa00.htm,http://www.sports-reference.com/cfb/players/lamar-thomas-1.html
1993,3,61,CHI,Chris Gedney,TE,23,2000,0,0,0,8,3,73,0,0,0,0,0,1,15,0,83,914,8,,,,Syracuse,College Stats,/players/G/GednCh00.htm,http://www.sports-reference.com/cfb/players/chris-gedney-1.html
1993,3,62,DET,Antonio London,LB,22,1998,0,0,1,12,12,76,0,0,0,0,0,0,0,0,0,0,0,,,13.0,Alabama,,/players/L/LondAn20.htm,
1993,3,63,CIN,Ty Parten,DE,23,2000,0,0,0,8,3,62,0,0,0,0,0,0,0,0,0,0,0,,,,Arizona,,/players/P/PartTy20.htm,
1993,3,64,SDG,Joe Cocozzo,G,23,1997,0,0,3,22,22,77,0,0,0,0,0,0,0,0,0,0,0,,,,Michigan,,/players/C/CocoJo20.htm,
1993,3,65,IND,Ray Buchanan,DB,21,2004,0,1,11,62,21,184,0,0,0,0,0,0,0,0,0,0,0,,47,3.5,Louisville,College Stats,/players/B/BuchRa00.htm,http://www.sports-reference.com/cfb/players/ray-buchanan-1.html
1993,3,66,NYG,Marcus Buckley,LB,22,1999,0,0,1,17,17,101,0,0,0,0,0,0,0,0,0,0,0,,1,1.5,Texas A&M,College Stats,/players/B/BuckMa20.htm,http://www.sports-reference.com/cfb/players/marcus-buckley-1.html
1993,3,67,ATL,Harold Alexander,P,22,1994,0,0,2,4,4,31,0,0,0,0,0,3,-7,0,0,0,0,,,,Appalachian St.,,/players/A/AlexHa20.htm,
1993,3,68,DET,Mike Compton,G,22,2004,0,0,6,50,33,151,0,0,0,0,0,0,0,0,0,0,0,,,,West Virginia,College Stats,/players/C/CompMi20.htm,http://www.sports-reference.com/cfb/players/mike-compton-1.html
1993,3,69,DEN,Rondell Jones,DB,22,1997,0,0,1,9,4,76,0,0,0,0,0,0,0,0,0,0,0,,3,,North Carolina,,/players/J/JoneRo26.htm,
1993,3,70,DEN,Jason Elam,K,23,2009,0,3,17,43,38,263,0,0,0,0,0,1,2,0,0,0,0,,,,Hawaii,College Stats,/players/E/elamxjas01.htm,http://www.sports-reference.com/cfb/players/jason-elam-1.html
1993,3,71,WAS,Rick Hamilton,LB,23,1996,0,0,0,3,1,34,0,0,0,0,0,0,0,0,0,0,0,,,1.5,Central Florida,,/players/H/HamiRi20.htm,
1993,3,72,RAI,James Trapp,DB,23,2003,0,0,1,19,12,149,0,0,0,0,0,0,0,0,0,0,0,,9,6.0,Clemson,,/players/T/TrapJa20.htm,
1993,3,73,RAM,Russell White,RB,22,1993,0,0,0,0,0,5,0,0,0,0,0,2,10,0,0,0,0,,,,California,College Stats,/players/W/WhitRu20.htm,http://www.sports-reference.com/cfb/players/russell-white-1.html
1993,3,74,KAN,Will Shields,G,21,2006,2,12,13,113,113,224,0,0,0,0,0,0,0,0,1,4,0,,,,Nebraska,College Stats,/players/S/ShieWi00.htm,http://www.sports-reference.com/cfb/players/will-shields-1.html
1993,3,75,PHI,Derrick Frazier,DB,23,1996,0,0,0,5,3,25,0,0,0,0,0,0,0,0,0,0,0,,1,,Texas A&M,,/players/F/FrazDe20.htm,
1993,3,76,PIT,Andre Hastings,WR,22,2000,0,0,4,26,15,104,0,0,0,0,0,13,156,0,266,3307,18,,,,Georgia,College Stats,/players/H/HastAn00.htm,http://www.sports-reference.com/cfb/players/andre-hastings-1.html
1993,3,77,PHI,Mike Reid,DB,22,1994,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,,,,North Carolina St.,,/players/R/ReidMi21.htm,
1993,3,78,MIA,Terry Kirby,RB,23,2002,0,0,2,48,22,110,4,6,85,3,0,761,2875,27,333,3222,12,,,,Virginia,College Stats,/players/K/KirbTe00.htm,http://www.sports-reference.com/cfb/players/terry-kirby-1.html
1993,3,79,MIN,Gilbert Brown,DT,22,2003,0,0,7,39,,125,0,0,0,0,0,0,0,0,0,0,0,,,7.0,Kansas,,/players/B/BrowGi20.htm,
1993,3,80,WAS,Ed Bunn,P,,,0,0,0,,,,,,,,,,,,,,,,,,Texas-El Paso,College Stats,,http://www.sports-reference.com/cfb/players/ed-bunn-1.html
1993,3,81,GNB,Earl Dotson,T,22,2002,0,0,6,43,43,120,0,0,0,0,0,0,0,0,0,0,0,,,,Texas A&M-Kingsville,,/players/D/DotsEa20.htm,
1993,3,82,TAM,John Lynch,DB,21,2007,2,9,12,87,69,224,0,0,0,0,0,1,40,0,0,0,0,,26,13.0,Stanford,College Stats,/players/L/LyncJo00.htm,http://www.sports-reference.com/cfb/players/john-lynch-1.html
1993,3,83,CLE,Mike Caldwell,LB,22,2003,0,0,2,32,7,159,0,0,0,0,0,0,0,0,0,0,0,,8,14.5,Middle Tenn. St.,,/players/C/CaldMi20.htm,
1993,3,84,DAL,Mike Middleton,DB,,,0,0,0,,,,,,,,,,,,,,,,,,Indiana,College Stats,,http://www.sports-reference.com/cfb/players/mike-middleton-1.html
1993,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,,Int,Sk,College/Univ,,,
1993,4,85,SEA,Dean Wells,LB,23,2001,0,0,6,33,21,129,0,0,0,0,0,0,0,0,0,0,0,,3,2.5,Kentucky,,/players/W/WellDe20.htm,
1993,4,86,NWE,Kevin Johnson,DT,22,1997,0,0,1,7,,38,0,0,0,0,0,0,0,0,0,0,0,,,7.0,Texas Southern,,/players/J/JohnKe28.htm,
1993,4,87,PHO,Ronald Moore,RB,23,1998,0,0,2,13,12,77,0,1,0,0,0,624,2210,14,24,153,1,,,,Pittsburg St.,,/players/M/MoorRo01.htm,
1993,4,88,NYJ,David Ware,T,,,0,0,0,,,,,,,,,,,,,,,,,,Virginia,,,
1993,4,89,NOR,Lorenzo Neal,FB,22,2008,2,4,9,14,3,239,0,0,0,0,0,226,807,6,199,1086,12,,,,Fresno St.,College Stats,/players/N/NealLo00.htm,http://www.sports-reference.com/cfb/players/lorenzo-neal-1.html
1993,4,90,CIN,Marcello Simmons,DB,22,1993,0,0,0,1,1,16,0,0,0,0,0,0,0,0,0,0,0,,,,SMU,,/players/S/SimmMa20.htm,
1993,4,91,TAM,Rudy Harris,RB,21,1994,0,0,0,1,1,18,0,0,0,0,0,9,29,0,6,59,0,,,,Clemson,College Stats,/players/H/HarrRu20.htm,http://www.sports-reference.com/cfb/players/rudy-harris-1.html
1993,4,92,IND,Derwin Gray,DB,22,1998,0,0,0,6,6,67,0,0,0,0,0,0,0,0,0,0,0,,1,,BYU,,/players/G/GrayDe20.htm,
1993,4,93,NYG,Greg Bishop,G,22,1999,0,0,4,28,27,101,0,0,0,0,0,0,0,0,0,0,0,,,,Pacific,,/players/B/BishGr20.htm,
1993,4,94,DAL,Derrick Lassic,RB,23,1993,0,0,0,3,3,10,0,0,0,0,0,75,269,3,9,37,0,,,,Alabama,College Stats,/players/L/LassDe00.htm,http://www.sports-reference.com/cfb/players/derrick-lassic-1.html
1993,4,95,SDG,Raylee Johnson,DE,23,2004,0,0,3,29,27,159,0,0,0,0,0,0,0,0,0,0,0,,,47.0,Arkansas,,/players/J/JohnRa22.htm,
1993,4,96,DAL,Ron Stone,G,22,2005,0,3,9,60,1,173,0,0,0,0,0,0,0,0,0,0,0,,,,Boston Col.,,/players/S/StonRo00.htm,
1993,4,97,CHI,Todd Perry,G,22,2003,0,0,9,55,34,165,0,0,0,0,0,0,0,0,0,0,0,,,,Kentucky,,/players/P/PerrTo20.htm,
1993,4,98,DEN,Jeff Robinson,TE,23,2009,0,0,0,4,0,202,0,0,0,0,0,0,0,0,28,278,8,,,6.5,Idaho,,/players/R/RobiJe00.htm,
1993,4,99,SDG,Lewis Bush,LB,23,2002,0,0,6,36,29,141,0,0,0,0,0,0,0,0,0,0,0,,2,4.0,Washington St.,,/players/B/BushLe20.htm,
1993,4,100,CHI,Myron Baker,LB,22,1997,0,0,0,7,6,66,0,0,0,0,0,0,0,0,0,0,0,,,,Louisiana Tech,,/players/B/BakeMy20.htm,
1993,4,101,WAS,Sterling Palmer,DE,22,1996,0,0,3,17,17,49,0,0,0,0,0,0,0,0,0,0,0,,,11.0,Florida St.,,/players/P/PalmSt20.htm,
1993,4,102,HOU,Travis Hannah,WR,23,1995,0,0,0,1,1,37,0,0,0,0,0,1,5,0,13,166,0,,,,USC,College Stats,/players/H/HannTr00.htm,http://www.sports-reference.com/cfb/players/travis-hannah-1.html
1993,4,103,KAN,Jaime Fields,LB,23,1994,0,0,0,2,2,17,0,0,0,0,0,0,0,0,0,0,0,,,,Washington,,/players/F/FielJa20.htm,
1993,4,104,TAM,Horace Copeland,WR,22,1998,0,0,2,16,16,60,0,0,0,0,0,3,34,0,115,1977,7,,,,Miami (FL),College Stats,/players/C/CopeHo00.htm,http://www.sports-reference.com/cfb/players/horace-copeland-1.html
1993,4,105,MIA,Ronnie Bradford,DB,22,2002,0,0,7,30,,133,0,0,0,0,0,0,0,0,0,0,0,,13,2.0,Colorado,,/players/B/BradRo20.htm,
1993,4,106,MIN,Ashley Sheppard,LB,24,1995,0,0,0,2,2,21,0,0,0,0,0,0,0,0,0,0,0,,,1.5,Clemson,,/players/S/ShepAs20.htm,
1993,4,107,IND,Devon McDonald,LB,23,1996,0,0,0,6,5,63,0,0,0,0,0,0,0,0,0,0,0,,,1.0,Notre Dame,,/players/M/McDoDe20.htm,
1993,4,108,PIT,Kevin Henry,DE,24,2000,0,0,4,41,41,117,0,0,0,0,0,0,0,0,0,0,0,,2,14.0,Mississippi St.,,/players/H/HenrKe20.htm,
1993,4,109,NOR,Derek Brown,RB,22,1996,0,0,2,17,17,56,0,0,0,0,0,388,1383,6,108,918,3,,,,Nebraska,College Stats,/players/B/BrowDe01.htm,http://www.sports-reference.com/cfb/players/derek-brown-2.html
1993,4,110,NWE,Corwin Brown,DB,23,2000,0,0,1,15,9,120,0,0,0,0,0,0,0,0,1,26,0,,3,0.5,Michigan,,/players/B/BrowCo21.htm,
1993,4,111,BUF,Russell Copeland,WR,21,1998,0,0,1,13,12,72,0,0,0,0,0,2,-8,0,103,1460,2,,,,Memphis,College Stats,/players/C/CopeRu00.htm,http://www.sports-reference.com/cfb/players/russell-copeland-1.html
1993,4,112,CHI,Albert Fontenot,DE,22,2001,0,0,4,34,15,130,0,0,0,0,0,0,0,0,0,0,0,,1,27.5,Baylor,,/players/F/FontAl20.htm,
1993,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,,Int,Sk,College/Univ,,,
1993,5,113,NWE,Scott Sisson,K,22,1996,0,0,2,0,-2,29,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia Tech,,/players/S/sissosco01.htm,
1993,5,114,SEA,Terrence Warren,WR,24,1995,0,0,0,0,0,17,0,0,0,0,0,3,15,0,0,0,0,,,,Hampton,,/players/W/WarrTe20.htm,
1993,5,115,NYJ,Fred Baxter,TE,22,2003,0,0,3,7,7,134,0,0,0,0,0,0,0,0,100,1008,12,,,,Auburn,College Stats,/players/B/BaxtFr00.htm,http://www.sports-reference.com/cfb/players/fred-baxter-1.html
1993,5,116,SFO,Artie Smith,DE,23,1998,0,0,2,16,3,73,0,0,0,0,0,0,0,0,0,0,0,,,4.5,Louisiana Tech,,/players/S/SmitAr21.htm,
1993,5,117,CIN,Forey Duckett,DB,23,1994,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,,,,Nevada,,/players/D/DuckFo20.htm,
1993,5,118,GNB,Mark Brunell,QB,22,2011,0,3,11,96,0,193,2761,4640,32072,184,108,513,2421,15,0,0,0,,,,Washington,College Stats,/players/B/BrunMa00.htm,http://www.sports-reference.com/cfb/players/mark-brunell-1.html
1993,5,119,GNB,James Willis,LB,21,1999,0,0,3,22,2,93,0,0,0,0,0,0,0,0,0,0,0,,4,2.0,Auburn,,/players/W/WillJa28.htm,
1993,5,120,NYJ,Adrian Murrell,RB,22,2003,0,0,5,37,23,122,0,0,0,0,0,1375,5199,23,214,1369,5,,,,West Virginia,College Stats,/players/M/MurrAd00.htm,http://www.sports-reference.com/cfb/players/adrian-murrell-1.html
1993,5,121,ATL,Ron George,LB,23,2000,0,0,2,14,11,124,0,0,0,0,0,0,0,0,0,0,0,,,3.0,Stanford,,/players/G/GeorRo20.htm,
1993,5,122,RAM,Sean LaChapelle,WR,23,1996,0,0,1,4,0,22,0,0,0,0,0,0,0,0,29,445,2,,,,UCLA,College Stats,/players/L/LaChSe00.htm,http://www.sports-reference.com/cfb/players/sean-lachapelle-1.html
1993,5,123,NYG,Tommy Thigpen,LB,,,0,0,0,,,,,,,,,,,,,,,,,,North Carolina,,,
1993,5,124,CLE,Herman Arvie,T,22,1996,0,0,0,7,5,62,0,0,0,0,0,0,0,0,1,1,1,,,,Grambling St.,,/players/A/ArviHe20.htm,
1993,5,125,RAI,Olanda Truitt,WR,22,1997,0,0,0,3,1,46,0,0,0,0,0,0,0,0,22,374,3,,,,Mississippi St.,College Stats,/players/T/TruiOl00.htm,http://www.sports-reference.com/cfb/players/olanda-truitt-1.html
1993,5,126,DEN,Kevin Williams,RB,23,1993,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,,,,UCLA,College Stats,/players/W/WillKe23.htm,http://www.sports-reference.com/cfb/players/kevin-williams-3.html
1993,5,127,RAM,Chuck Belin,G,22,1996,0,0,0,3,3,21,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,College Stats,/players/B/BeliCh20.htm,http://www.sports-reference.com/cfb/players/chuck-belin-1.html
1993,5,128,WAS,Greg Huntington,C,22,1998,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,,,,Penn St.,,/players/H/HuntGr20.htm,
1993,5,129,NYJ,Kenny Shedd,WR,22,2000,0,0,0,2,,60,0,0,0,0,0,0,0,0,16,252,1,,,,Northern Iowa,,/players/S/ShedKe00.htm,
